playerID,yearID,stint,teamID,lgID,G_bat,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,run_production,run_prevention,pos_factor,POS,G_field,run_production_scaled,run_prevention_scaled,total_run_value
adriaeh01,2021,1,ATL,NL,109,,182,32,45,9,2,5,28.0,0.0,0.0,21,42.0,0.0,2.0,1.0,3.0,4.0,,92.6,43.325,1.0875,2B,48,-0.32534408490859135,-0.7294633587377708,-0.4869917944402631
affelje01,2007,1,COL,NL,75,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.800000000000001,1.0,P,75,-1.2431395030686965,-0.9562859009646463,-1.1283980622270764
affelje01,2008,1,CIN,NL,74,,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.9,1.0,P,74,-1.2431395030686965,-0.9133694439410402,-1.1112314794176341
affelje01,2009,1,SFN,NL,74,,2,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,7.4,1.0,P,74,-1.238183804266536,-0.9466145867058054,-1.121556117242244
affelje01,2010,1,SFN,NL,53,,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.5,1.0,P,53,-1.2431395030686965,-0.9641438437999544,-1.1315412393611997
affelje01,2011,1,SFN,NL,67,,1,0,0,0,0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,,0.3,7.9,1.0,P,67,-1.2401660837874002,-0.9435923009999178,-1.1215365706724072
affelje01,2012,1,SFN,NL,67,,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.5,1.0,P,67,-1.2431395030686965,-0.9460101295646279,-1.124287753667069
affelje01,2014,1,SFN,NL,62,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.6,1.0,P,62,-1.2431395030686965,-0.9333165295998995,-1.1192103136811777
affelje01,2015,1,SFN,NL,52,,2,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.9000000000000004,1.0,P,52,-1.2431395030686965,-0.9677705866470198,-1.1329919365000258
agbaybe01,2000,1,NYN,NL,119,,350,59,101,19,1,15,60.0,5.0,5.0,54,68.0,2.0,7.0,0.0,3.0,6.0,,190.99999999999997,74.7,1.0,OF,110,0.6499374393565741,-0.5398149306933145,0.1740364913366186
agbaybe01,2001,1,NYN,NL,91,,296,28,82,14,2,6,27.0,4.0,5.0,36,73.0,0.0,5.0,1.0,1.0,11.0,,111.1,55.9,1.0,OF,84,-0.14198322922865675,-0.6534528732346939,-0.34657108683107163
aguilch01,2005,1,FLO,NL,65,,78,11,19,3,0,0,4.0,0.0,1.0,3,19.0,0.0,0.0,0.0,0.0,0.0,,25.699999999999996,20.4,1.0,OF,42,-0.9884165846376521,-0.868035158352724,-0.9402640141236809
aguilje01,2017,1,MIL,NL,133,,279,40,74,15,2,16,52.0,0.0,0.0,25,94.0,1.0,4.0,0.0,3.0,8.0,,141.6,261.99,1.0,1B,78,0.16031439770312733,0.5922728490181183,0.33309777822912373
aguilje01,2018,1,MIL,NL,149,,492,80,135,25,0,35,108.0,0.0,0.0,58,143.0,3.0,6.0,0.0,10.0,19.0,,278.7,497.77000000000004,1.0,1B,137,1.5191670092555076,2.017461896486545,1.7184849641479225
aguilje01,2019,1,MIL,NL,94,,222,26,50,9,0,8,34.0,0.0,0.0,31,59.0,0.0,2.0,0.0,4.0,11.0,,96.8,273.6,0.9666666666666667,1B,77,-0.283716214970444,0.6624503231088319,0.09475040026126635
aguilje01,2020,1,MIA,NL,51,,188,31,52,10,0,8,34.0,0.0,1.0,23,40.0,0.0,1.0,0.0,4.0,5.0,,99.80000000000001,139.77,1.0,1B,32,-0.2539820221574815,-0.14649466892908297,-0.21098708086612208
aguilje01,2021,1,MIA,NL,131,,449,49,117,23,0,22,93.0,0.0,0.0,46,93.0,4.0,3.0,0.0,7.0,11.0,,219.9,462.03999999999996,1.0,1B,115,0.9363768301214452,1.8014893599438062,1.2824218420503897
aguilje01,2022,1,MIA,NL,113,,415,37,98,18,0,15,49.0,1.0,0.0,27,106.0,1.0,4.0,0.0,5.0,8.0,,148.5,260.53000000000003,0.9666666666666667,1B,67,0.22870304117294085,0.5834477747569261,0.370600934606535
aguilri01,2000,1,CHN,NL,54,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.800000000000001,1.0,P,54,-1.2431395030686965,-0.9562859009646463,-1.1283980622270764
ahmedni01,2015,1,ARI,NL,134,,421,49,95,17,6,9,34.0,4.0,5.0,29,81.0,1.0,1.0,5.0,3.0,4.0,,144.89999999999998,340.86,1.15,SS,129,0.1930220097973858,1.0690081962648517,0.5434164843843722
ahmedni01,2016,1,ARI,NL,90,,284,26,62,9,1,4,20.0,5.0,2.0,15,58.0,3.0,4.0,2.0,3.0,9.0,,85.8,234.02499999999998,1.15,SS,88,-0.3927415886179727,0.42323640948781627,-0.06635038937565707
ahmedni01,2017,1,ARI,NL,53,,167,24,42,8,1,6,21.0,3.0,4.0,10,39.0,3.0,1.0,0.0,0.0,6.0,,70.1,110.63,1.15,SS,48,-0.5483505310058091,-0.32263347986822105,-0.4580637105507739
